LVL,DATE,COUNTY_FIPS,POP_AT_HOME,POP_NOT_AT_HOME,NUM_OF_TRIPS
State,2019/01/03,,688069.0,2873676.0,12225399.0
State,2019/01/03,,174956.0,789258.0,3162108.0
State,2019/01/03,,189830.0,510478.0,4068528.0
State,2019/01/03,,3633067.0,17601155.0,71552929.0
State,2019/01/03,,256376.0,1095935.0,4706005.0
State,2019/01/03,,638451.0,2386666.0,11163208.0
State,2019/01/03,,368142.0,1555232.0,7222727.0
State,2019/01/03,,231091.0,827967.0,3607812.0
State,2019/01/03,,1234610.0,4873115.0,21948921.0
State,2019/01/03,,487373.0,2490031.0,9416774.0
State,2019/01/03,,862115.0,3592627.0,16748769.0
State,2019/01/03,,1916959.0,8570364.0,33700762.0
State,2019/01/03,,827419.0,3818312.0,17278186.0
State,2019/01/03,,170734.0,708801.0,3275216.0
State,2019/01/03,,5036357.0,23577754.0,92612067.0
State,2019/01/03,,633498.0,2517943.0,12128407.0
State,2019/01/04,,415632.0,1673391.0,8804531.0
State,2019/01/04,,511608.0,2493008.0,9976570.0
State,2019/01/04,,7574818.0,31861318.0,140800552.0
State,2019/01/04,,1200149.0,4478007.0,23625321.0
State,2019/01/04,,687208.0,2874537.0,12485986.0
State,2019/01/04,,174402.0,789812.0,3197687.0
State,2019/01/04,,185100.0,515208.0,4128658.0
State,2019/01/04,,3530449.0,17703773.0,71622538.0
State,2019/01/04,,1866716.0,8620607.0,33896285.0
State,2019/01/04,,276847.0,1139303.0,4891253.0
State,2019/01/04,,336917.0,1411930.0,5760645.0
State,2019/01/04,,2552814.0,10149319.0,50485821.0
State,2019/01/04,,1238842.0,5432584.0,24521334.0
State,2019/01/04,,596043.0,2550454.0,12048367.0
State,2019/01/04,,563448.0,2339153.0,11601221.0
State,2019/01/04,,836566.0,3618176.0,16695801.0
State,2019/01/04,,829969.0,3815762.0,18501361.0
State,2019/01/04,,286573.0,1047741.0,4138064.0
State,2019/01/04,,1063670.0,4960580.0,22743104.0
State,2019/01/04,,1440797.0,5440256.0,28630786.0
State,2019/01/04,,1861125.0,8104238.0,35776939.0
State,2019/01/04,,1006305.0,4587726.0,21131923.0
State,2019/01/04,,479291.0,2498113.0,9932354.0
State,2019/01/04,,1202899.0,4904826.0,22334698.0
State,2019/01/04,,224264.0,834794.0,3675036.0
State,2019/01/04,,357762.0,1565612.0,7430594.0
State,2019/01/04,,626386.0,2398731.0,11112768.0
State,2019/01/04,,257588.0,1094723.0,4640844.0
State,2019/01/04,,1773847.0,7107446.0,33848419.0
State,2019/01/04,,4669327.0,14813149.0,79910113.0
State,2019/01/04,,1813794.0,8538087.0,35219149.0
State,2019/01/04,,143499.0,614256.0,2837192.0
State,2019/01/04,,2231911.0,9421802.0,41214990.0
State,2019/01/04,,782712.0,3148312.0,13321351.0
State,2019/01/04,,863168.0,3314733.0,15176367.0
State,2019/01/04,,2497015.0,10270900.0,44032605.0
State,2019/01/04,,200015.0,854068.0,3748461.0
State,2019/01/04,,857927.0,4210656.0,16720245.0
State,2019/01/04,,164884.0,714651.0,3411180.0
State,2019/01/04,,1219389.0,5529929.0,23662675.0
State,2019/01/04,,4862521.0,23751590.0,98980675.0
State,2019/01/04,,617972.0,2533469.0,12261631.0
State,2019/01/04,,130683.0,493701.0,2118120.0
State,2019/01/04,,1506499.0,6985156.0,31444580.0
State,2019/01/04,,1382228.0,6130332.0,26677292.0
State,2019/01/04,,375124.0,1425186.0,5998767.0
State,2019/01/04,,1032746.0,4763054.0,21519954.0
State,2019/01/04,,127880.0,448090.0,2383208.0
State,2019/01/04,,810947.0,4061987.0,16363666.0
State,2019/01/04,,169553.0,565629.0,2597882.0
State,2019/01/04,,1385823.0,5763903.0,23914266.0
State,2019/01/05,,1438404.0,6074156.0,26717882.0
State,2019/01/05,,392352.0,1407958.0,5942174.0
State,2019/01/05,,1068295.0,4727505.0,21413155.0
State,2019/01/05,,130624.0,445346.0,2232405.0
State,2019/01/05,,5016405.0,23597706.0,98747497.0
State,2019/01/05,,1274147.0,5475171.0,24435552.0
State,2019/01/05,,170947.0,708588.0,3246763.0
State,2019/01/05,,1435187.0,5714539.0,23945703.0
State,2019/01/05,,172498.0,562684.0,2519466.0
State,2019/01/05,,894840.0,4173743.0,17159362.0
State,2019/01/05,,207744.0,846339.0,3630531.0
State,2019/01/05,,2608122.0,10159793.0,43543281.0
State,2019/01/05,,887516.0,3290385.0,15184401.0
State,2019/01/05,,784002.0,3147022.0,13824707.0
State,2019/01/05,,2327166.0,9326547.0,41032860.0
State,2019/01/05,,852738.0,4020196.0,16691335.0
State,2019/01/05,,363916.0,1559458.0,7296350.0
State,2019/01/05,,148848.0,608907.0,2532546.0
State,2019/01/05,,1889531.0,8462350.0,35971275.0
State,2019/01/05,,4955079.0,14527397.0,77386296.0
State,2019/01/05,,429520.0,1659503.0,8517328.0
State,2019/01/05,,1872669.0,7008624.0,33483316.0
State,2019/01/05,,261189.0,1091122.0,4693155.0
State,2019/01/05,,1236274.0,4441882.0,23588974.0
State,2019/01/05,,644882.0,2380235.0,11052754.0
State,2019/01/05,,230895.0,828163.0,3598500.0
State,2019/01/05,,1254160.0,4853565.0,22660044.0
State,2019/01/05,,495293.0,2482111.0,10090258.0
State,2019/01/05,,717198.0,2844547.0,12196399.0
State,2019/01/05,,1042887.0,4551144.0,20987882.0
State,2019/01/05,,1939016.0,8026347.0,35571854.0
State,2019/01/05,,1499659.0,5381394.0,28083625.0
State,2019/01/05,,1140282.0,4883968.0,22330424.0
State,2019/01/05,,293458.0,1040856.0,4089775.0
State,2019/01/05,,854561.0,3791170.0,18717582.0
State,2019/01/05,,882066.0,3572676.0,17056628.0
State,2019/01/05,,581083.0,2321518.0,11475966.0
State,2019/01/05,,616557.0,2529940.0,11859513.0
State,2019/01/05,,1294548.0,5376878.0,24343228.0
State,2019/01/05,,2641840.0,10060293.0,50983681.0
State,2019/01/05,,346050.0,1402797.0,5671391.0
State,2019/01/05,,280955.0,1135195.0,4911308.0
State,2019/01/05,,1953585.0,8533738.0,35170238.0
State,2019/01/05,,3697110.0,17537112.0,72099121.0
State,2019/01/05,,199690.0,500618.0,4026793.0
State,2019/01/05,,185928.0,778286.0,3120310.0
State,2019/01/05,,7898081.0,31538055.0,140734892.0
State,2019/01/05,,526984.0,2477632.0,10256315.0
State,2019/01/05,,641290.0,2510151.0,12230726.0
State,2019/01/05,,133966.0,490418.0,2128627.0
State,2019/01/05,,1579708.0,6911947.0,31292472.0
State,2019/01/06,,1196826.0,4827424.0,20348627.0
State,2019/01/06,,1533756.0,5347297.0,26385310.0
State,2019/01/06,,1994125.0,7971238.0,32125689.0
State,2019/01/06,,1060409.0,4533622.0,18598227.0
State,2019/01/06,,506005.0,2471399.0,9299328.0
State,2019/01/06,,1319197.0,4788528.0,19724817.0
State,2019/01/06,,232808.0,826250.0,3302397.0
State,2019/01/06,,380372.0,1543002.0,6347837.0
State,2019/01/06,,659685.0,2365432.0,10140045.0
State,2019/01/06,,271036.0,1081275.0,4274423.0
State,2019/01/06,,1937674.0,6943619.0,30691516.0
State,2019/01/06,,434340.0,1654683.0,7718176.0
State,2019/01/06,,5074410.0,14408066.0,72189351.0
State,2019/01/06,,1950973.0,8400908.0,32463818.0
State,2019/01/06,,148400.0,609355.0,2342498.0
State,2019/01/06,,2424611.0,9229102.0,37374649.0
State,2019/01/06,,803860.0,3127164.0,12595408.0
State,2019/01/06,,911568.0,3266333.0,13902358.0
State,2019/01/06,,867122.0,4005812.0,15589807.0
State,2019/01/06,,2720676.0,10047239.0,40067471.0
State,2019/01/06,,212953.0,841130.0,3438159.0
State,2019/01/06,,913015.0,4155568.0,15692647.0
State,2019/01/06,,169362.0,710173.0,2872219.0
State,2019/01/06,,1303840.0,5445478.0,22630954.0
State,2019/01/06,,5140227.0,23473884.0,89395006.0
State,2019/01/06,,678878.0,2472563.0,10874603.0
State,2019/01/06,,138031.0,486353.0,1894542.0
State,2019/01/06,,1656573.0,6835082.0,28826201.0
State,2019/01/06,,1476356.0,6036204.0,24793230.0
State,2019/01/06,,409199.0,1391111.0,5435200.0
State,2019/01/06,,1103562.0,4692238.0,18828031.0
State,2019/01/06,,130911.0,445059.0,1954090.0
State,2019/01/06,,3833012.0,17401210.0,65171552.0
State,2019/01/06,,1988686.0,8498637.0,32411939.0
State,2019/01/06,,284856.0,1131294.0,4613840.0
State,2019/01/06,,356123.0,1392724.0,5119882.0
State,2019/01/06,,2783775.0,9918358.0,45313739.0
